image,similarity_score
16952_output.png,0.8448
16952_output.png,0.9262
16952_output.png,0.9027
16952_output.png,0.9325
16952_output.png,0.8887
16952_output.png,0.9324
16952_output.png,0.9433
16952_output.png,0.9071
16952_output.png,0.8864
16952_output.png,0.9549
16952_output.png,0.9051
16952_output.png,0.9276
16952_output.png,0.8673
16952_output.png,0.9086
16952_output.png,0.8391
16952_output.png,0.924
16952_output.png,0.9027
16952_output.png,0.9583
16952_output.png,0.8715
16952_output.png,0.9464
16952_output.png,0.974
16952_output.png,0.9277
16952_output.png,0.872
16952_output.png,0.9374
16952_output.png,0.8889
16952_output.png,0.8943
16952_output.png,0.9222
16952_output.png,0.8784
16952_output.png,0.8936
16952_output.png,0.9015
16952_output.png,0.8798
16952_output.png,0.8929
16952_output.png,0.8965
16952_output.png,0.8859
16952_output.png,0.8999
16952_output.png,0.8892
16952_output.png,0.9454
16952_output.png,0.881
16952_output.png,0.9026
16952_output.png,0.8672
16952_output.png,0.8891
16952_output.png,0.9053
16952_output.png,0.9264
16952_output.png,0.879
16952_output.png,0.9481
16952_output.png,0.9295
16952_output.png,0.8739
16952_output.png,0.9073
16952_output.png,0.9143
16952_output.png,0.9093
16952_output.png,0.8972
16952_output.png,0.8951
16952_output.png,0.9134
16952_output.png,0.9066
16952_output.png,0.9343
16952_output.png,0.9137
16952_output.png,0.9078
16952_output.png,0.9211
16952_output.png,0.8862
16952_output.png,0.9199
16952_output.png,0.8447
16952_output.png,0.9233
16952_output.png,0.877
16952_output.png,0.893
16952_output.png,0.8791
16952_output.png,0.8943
16952_output.png,0.912
16952_output.png,0.9183
16952_output.png,0.8932
16952_output.png,0.9165
16952_output.png,0.8676
16952_output.png,0.9027
16952_output.png,0.8719
16952_output.png,0.9159
16952_output.png,0.8828
16952_output.png,0.8609
16952_output.png,0.8958
16952_output.png,0.8591
16952_output.png,0.9092
16952_output.png,0.9149
16952_output.png,0.903
16952_output.png,0.9043
16952_output.png,0.9099
16952_output.png,0.9088
16952_output.png,0.8996
16952_output.png,0.828
16952_output.png,0.9097
16952_output.png,0.8859
16952_output.png,0.8911
16952_output.png,0.8998
16952_output.png,0.8424
16952_output.png,0.8734
16952_output.png,0.8866
16952_output.png,0.9118
16952_output.png,0.8582
16952_output.png,0.8923
16952_output.png,0.933
16952_output.png,0.9405
16952_output.png,0.9171
16952_output.png,0.9194
16952_output.png,0.9485
16952_output.png,0.9181
16952_output.png,0.8979
16952_output.png,0.8743
16952_output.png,0.9727
16952_output.png,0.9698
16952_output.png,0.926
16952_output.png,0.8975
16952_output.png,0.8768
16952_output.png,0.8728
16952_output.png,0.9603
16952_output.png,0.9024
16952_output.png,0.932
31143_output.png,0.8635
31143_output.png,0.8792
31143_output.png,0.9121
31143_output.png,0.8263
31143_output.png,0.845
31143_output.png,0.8896
31143_output.png,0.8892
31143_output.png,0.9338
31143_output.png,0.8732
31143_output.png,0.9337
31143_output.png,0.8759
31143_output.png,0.8946
31143_output.png,0.8414
31143_output.png,0.944
31143_output.png,0.9462
31143_output.png,0.9276
31143_output.png,0.8784
31143_output.png,0.8508
31143_output.png,0.9454
31143_output.png,0.9239
31143_output.png,0.9147
31143_output.png,0.7787
31143_output.png,0.8021
31143_output.png,0.9124
31143_output.png,0.949
31143_output.png,0.8725
31143_output.png,0.9342
31143_output.png,0.8311
31143_output.png,0.8845
31143_output.png,0.8374
31143_output.png,0.8851
31143_output.png,0.8769
31143_output.png,0.878
31143_output.png,0.9462
31143_output.png,0.9615
31143_output.png,0.9436
31143_output.png,0.8941
31143_output.png,0.9055
31143_output.png,0.8267
31143_output.png,0.8704
31143_output.png,0.8968
31143_output.png,0.9313
31143_output.png,0.8592
31143_output.png,0.9475
31143_output.png,0.8439
31143_output.png,0.8775
31143_output.png,0.8548
31143_output.png,0.881
31143_output.png,0.8615
31143_output.png,0.8646
31143_output.png,0.9299
31143_output.png,0.9303
31143_output.png,0.9133
31143_output.png,0.8846
31143_output.png,0.836
31143_output.png,0.8209
31143_output.png,0.964
31143_output.png,0.9276
31143_output.png,0.9466
31143_output.png,0.9221
31143_output.png,0.8794
31143_output.png,0.9377
31143_output.png,0.9364
31143_output.png,0.9075
31143_output.png,0.9616
31143_output.png,0.9118
31143_output.png,0.9288
31143_output.png,0.9225
31143_output.png,0.9074
31143_output.png,0.9253
31143_output.png,0.9396
31143_output.png,0.8492
31143_output.png,0.8063
31143_output.png,0.8588
31143_output.png,0.8368
31143_output.png,0.8641
31143_output.png,0.8378
31143_output.png,0.8372
31143_output.png,0.854
31143_output.png,0.825
31143_output.png,0.8346
31143_output.png,0.8204
31143_output.png,0.79
31143_output.png,0.788
31143_output.png,0.8414
31143_output.png,0.8338
31143_output.png,0.8474
31143_output.png,0.8402
31143_output.png,0.8461
31143_output.png,0.8796
31143_output.png,0.8099
31143_output.png,0.8132
31143_output.png,0.8263
31143_output.png,0.818
31143_output.png,0.8112
31143_output.png,0.8261
31143_output.png,0.8144
31143_output.png,0.8311
31143_output.png,0.8492
31143_output.png,0.9206
31143_output.png,0.9502
31143_output.png,0.9079
31143_output.png,0.8891
31143_output.png,0.9175
31143_output.png,0.9438
31143_output.png,0.9246
31143_output.png,0.9372
31143_output.png,0.8935
31143_output.png,0.927
31143_output.png,0.9209
31143_output.png,0.9219
31143_output.png,0.9121
31143_output.png,0.8876
31143_output.png,0.9311
31143_output.png,0.8629
31143_output.png,0.8962
31143_output.png,0.8661
31143_output.png,0.87
31143_output.png,0.9115
31143_output.png,0.8909
31143_output.png,0.9377
31143_output.png,0.9676
31143_output.png,0.9241
31143_output.png,0.9106
31143_output.png,0.8787
31143_output.png,0.9541
31143_output.png,0.8977
31143_output.png,0.9295
31143_output.png,0.8845
31143_output.png,0.9647
31143_output.png,0.9437
31143_output.png,0.9106
31143_output.png,0.877
31143_output.png,0.879
31143_output.png,0.9588
31143_output.png,0.8425
31143_output.png,0.8947
31143_output.png,0.8607
31143_output.png,0.9162
31143_output.png,0.877
31143_output.png,0.878
31143_output.png,0.9235
31143_output.png,0.9333
31143_output.png,0.9279
31143_output.png,0.9119
31143_output.png,0.8365
31143_output.png,0.8602
31143_output.png,0.8363
31143_output.png,0.931
31143_output.png,0.9245
31143_output.png,0.8763
31143_output.png,0.834
31143_output.png,0.8469
31143_output.png,0.9368
31143_output.png,0.8803
31143_output.png,0.934
31143_output.png,0.907
31143_output.png,0.9043
31143_output.png,0.9213
31143_output.png,0.9138
31143_output.png,0.8654
31143_output.png,0.884
31143_output.png,0.8928
31143_output.png,0.9152
31143_output.png,0.8701
31143_output.png,0.8806
31143_output.png,0.8534
31143_output.png,0.8496
31143_output.png,0.9034
31143_output.png,0.8636
31143_output.png,0.8465
31143_output.png,0.8933
31143_output.png,0.8942
31143_output.png,0.8857
31143_output.png,0.8733
31143_output.png,0.9437
31143_output.png,0.9145
31143_output.png,0.8901
31143_output.png,0.875
31143_output.png,0.9435
31143_output.png,0.9244
31143_output.png,0.8892
31143_output.png,0.8529
31143_output.png,0.9501
31143_output.png,0.9642
31143_output.png,0.9065
31143_output.png,0.9226
31143_output.png,0.9271
31143_output.png,0.8979
31143_output.png,0.8959
34217_output.png,0.918
34217_output.png,0.8943
34217_output.png,0.9378
34217_output.png,0.9237
34217_output.png,0.9249
34217_output.png,0.9249
34217_output.png,0.9348
34217_output.png,0.9221
34217_output.png,0.8643
34217_output.png,0.9155
34217_output.png,0.927
34217_output.png,0.9112
34217_output.png,0.932
34217_output.png,0.8714
34217_output.png,0.9061
34217_output.png,0.9088
34217_output.png,0.8925
34217_output.png,0.9278
34217_output.png,0.9024
34217_output.png,0.8771
34217_output.png,0.8978
34217_output.png,0.865
34217_output.png,0.9133
34217_output.png,0.9016
34217_output.png,0.9105
34217_output.png,0.8978
34217_output.png,0.9054
34217_output.png,0.8294
34217_output.png,0.8915
34217_output.png,0.8799
34217_output.png,0.847
34217_output.png,0.8366
34217_output.png,0.8847
34217_output.png,0.8818
34217_output.png,0.8799
34217_output.png,0.8871
34217_output.png,0.9082
34217_output.png,0.8812
34217_output.png,0.9247
34217_output.png,0.9517
34217_output.png,0.9143
34217_output.png,0.9492
34217_output.png,0.9653
34217_output.png,0.9371
34217_output.png,0.9018
34217_output.png,0.8388
34217_output.png,0.9753
34217_output.png,0.9201
34217_output.png,0.9151
34217_output.png,0.9744
34217_output.png,0.9781
34217_output.png,0.9622
34217_output.png,0.8454
34217_output.png,0.8965
34217_output.png,0.8796
34217_output.png,0.9211
34217_output.png,0.9159
34217_output.png,0.9059
34217_output.png,0.8789
34217_output.png,0.8028
34217_output.png,0.8629
34217_output.png,0.959
34217_output.png,0.8969
34217_output.png,0.8757
34217_output.png,0.8837
34217_output.png,0.8995
34217_output.png,0.9159
34217_output.png,0.883
34217_output.png,0.9533
34217_output.png,0.9123
34217_output.png,0.9301
34217_output.png,0.9154
34217_output.png,0.9381
34217_output.png,0.9273
34217_output.png,0.8991
34217_output.png,0.9521
34217_output.png,0.8512
34217_output.png,0.9414
34217_output.png,0.9259
34217_output.png,0.9117
34217_output.png,0.9246
34217_output.png,0.9236
34217_output.png,0.9117
34217_output.png,0.8368
34217_output.png,0.8889
34217_output.png,0.9499
34217_output.png,0.9563
34217_output.png,0.9462
34217_output.png,0.9082
34217_output.png,0.9052
34217_output.png,0.9118
34217_output.png,0.9598
34217_output.png,0.9208
34217_output.png,0.8931
34217_output.png,0.9544
34217_output.png,0.9647
34217_output.png,0.959
34217_output.png,0.9095
34217_output.png,0.9137
34217_output.png,0.9685
34217_output.png,0.9302
34217_output.png,0.8812
34217_output.png,0.9347
34217_output.png,0.9095
34217_output.png,0.9251
34217_output.png,0.9195
34217_output.png,0.9064
34217_output.png,0.9388
34217_output.png,0.9411
34217_output.png,0.9197
34217_output.png,0.8956
34217_output.png,0.8898
34217_output.png,0.9566
34217_output.png,0.9144
34217_output.png,0.9434
34217_output.png,0.8896
34217_output.png,0.9579
34217_output.png,0.9347
34217_output.png,0.9371
34217_output.png,0.9541
34217_output.png,0.9539
34217_output.png,0.9547
34217_output.png,0.8732
34217_output.png,0.8997
34217_output.png,0.944
34217_output.png,0.9316
34217_output.png,0.8774
34217_output.png,0.9703
34217_output.png,0.9448
34217_output.png,0.8942
34217_output.png,0.9415
34217_output.png,0.9557
34217_output.png,0.9559
34217_output.png,0.8756
34217_output.png,0.9125
34217_output.png,0.8822
34217_output.png,0.7813
34217_output.png,0.9345
34217_output.png,0.8783
34217_output.png,0.871
34217_output.png,0.9169
34217_output.png,0.9076
34217_output.png,0.9219
34217_output.png,0.787
34217_output.png,0.863
34217_output.png,0.8537
34217_output.png,0.9311
34217_output.png,0.9499
34217_output.png,0.9204
34217_output.png,0.9023
34217_output.png,0.9208
34217_output.png,0.9141
34217_output.png,0.837
34217_output.png,0.8398
34217_output.png,0.8651
34217_output.png,0.878
34217_output.png,0.8312
34217_output.png,0.847
34217_output.png,0.8839
34217_output.png,0.8694
34217_output.png,0.9754
34217_output.png,0.9038
34217_output.png,0.93
34217_output.png,0.9216
34217_output.png,0.972
34217_output.png,0.9726
34217_output.png,0.9691
34217_output.png,0.8591
34217_output.png,0.8821
34217_output.png,0.8828
34217_output.png,0.9091
34217_output.png,0.9319
34217_output.png,0.9169
34217_output.png,0.8753
34217_output.png,0.8709
34217_output.png,0.9134
34217_output.png,0.9123
34217_output.png,0.9307
34217_output.png,0.8191
34217_output.png,0.8432
34217_output.png,0.9671
34217_output.png,0.9378
34217_output.png,0.8464
34217_output.png,0.8811
34217_output.png,0.9664
34217_output.png,0.8874
34217_output.png,0.8965
34217_output.png,0.8649
34217_output.png,0.8794
34217_output.png,0.9066
12922_output.png,0.911
12922_output.png,0.9009
12922_output.png,0.8105
12922_output.png,0.7749
12922_output.png,0.7569
12922_output.png,0.9197
12922_output.png,0.9173
12922_output.png,0.9104
12922_output.png,0.9137
12922_output.png,0.9174
12922_output.png,0.9699
12922_output.png,0.9333
12922_output.png,0.9492
12922_output.png,0.8894
12922_output.png,0.9728
12922_output.png,0.965
12922_output.png,0.8169
12922_output.png,0.7157
12922_output.png,0.9628
12922_output.png,0.9382
12922_output.png,0.7578
12922_output.png,0.8065
12922_output.png,0.7718
12922_output.png,0.9371
12922_output.png,0.9705
12922_output.png,0.9026
12922_output.png,0.9283
12922_output.png,0.9248
12922_output.png,0.9002
12922_output.png,0.8913
12922_output.png,0.903
12922_output.png,0.9463
12922_output.png,0.8853
12922_output.png,0.8924
12922_output.png,0.8232
12922_output.png,0.6607
12922_output.png,0.8779
12922_output.png,0.7425
12922_output.png,0.8443
12922_output.png,0.7484
12922_output.png,0.9533
12922_output.png,0.9472
12922_output.png,0.8885
12922_output.png,0.966
12922_output.png,0.9506
12922_output.png,0.8859
12922_output.png,0.8857
12922_output.png,0.8626
12922_output.png,0.9777
12922_output.png,0.8965
12922_output.png,0.8576
12922_output.png,0.8165
12922_output.png,0.6691
12922_output.png,0.885
12922_output.png,0.7945
12922_output.png,0.7908
12922_output.png,0.7698
12922_output.png,0.7979
12922_output.png,0.7614
12922_output.png,0.7362
12922_output.png,0.7399
12922_output.png,0.7669
12922_output.png,0.8143
12922_output.png,0.8035
12922_output.png,0.7569
12922_output.png,0.821
12922_output.png,0.8074
12922_output.png,0.8487
12922_output.png,0.8658
12922_output.png,0.8173
12922_output.png,0.9068
12922_output.png,0.8225
12922_output.png,0.8319
12922_output.png,0.7416
12922_output.png,0.8229
12922_output.png,0.8519
12922_output.png,0.764
12922_output.png,0.7196
12922_output.png,0.778
